dataset,drift_id,pattern_code,gates_firing,gate_count,ambiguous,cascade_label,cascade_correct,primitive_labels
ostovar,ostovar:re:0,re,OCC,1,False,REMOVAL,True,GONE
ostovar,ostovar:re:1,re,OCC,1,False,INSERTION,True,NEW
ostovar,ostovar:re:2,re,OCC|BRANCH,2,True,REMOVAL,True,GONE
ostovar,ostovar:re:3,re,OCC|BRANCH,2,True,INSERTION,True,NEW
ostovar,ostovar:re:4,re,OCC|BRANCH|SKIP,3,True,REMOVAL,True,GONE
ostovar,ostovar:re:5,re,OCC|BRANCH,2,True,INSERTION,True,NEW
ostovar,ostovar:cb:0,cb,SKIP,1,False,SKIP,True,
ostovar,ostovar:cb:1,cb,,0,False,OTHER,False,
ostovar,ostovar:cb:2,cb,SKIP|REORDER,2,True,SKIP,True,
ostovar,ostovar:cb:3,cb,,0,False,OTHER,False,
ostovar,ostovar:cb:4,cb,SKIP|REORDER,2,True,SKIP,True,
ostovar,ostovar:cb:5,cb,SKIP|REORDER,2,True,SKIP,True,
ostovar,ostovar:rp:0,rp,OCC,1,False,SUBSTITUTION,True,GONE+NEW
ostovar,ostovar:rp:1,rp,OCC,1,False,SUBSTITUTION,True,GONE+NEW
ostovar,ostovar:rp:2,rp,OCC|BRANCH|SKIP,3,True,SUBSTITUTION,True,GONE+NEW
ostovar,ostovar:rp:3,rp,OCC|BRANCH,2,True,SUBSTITUTION,True,GONE+NEW
ostovar,ostovar:rp:4,rp,OCC|BRANCH,2,True,SUBSTITUTION,True,GONE+NEW
ostovar,ostovar:rp:5,rp,OCC|BRANCH|SKIP,3,True,SUBSTITUTION,True,GONE+NEW
ostovar,ostovar:sw:0,sw,REORDER,1,False,REORDER,True,
ostovar,ostovar:sw:1,sw,REORDER,1,False,REORDER,True,
ostovar,ostovar:sw:2,sw,REORDER,1,False,REORDER,True,
ostovar,ostovar:sw:3,sw,REORDER,1,False,REORDER,True,
ostovar,ostovar:sw:4,sw,SKIP|REORDER,2,True,SKIP,False,
ostovar,ostovar:sw:5,sw,SKIP|REORDER,2,True,SKIP,False,
ostovar,ostovar:ior:0,ior,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ostovar,ostovar:ior:1,ior,OCC|REORDER,2,True,REMOVAL,False,GONE
ostovar,ostovar:ior:2,ior,OCC|SKIP|REORDER,3,True,INSERTION,False,NEW
ostovar,ostovar:ior:3,ior,OCC|BRANCH,2,True,REMOVAL,False,GONE
ostovar,ostovar:ior:4,ior,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ostovar,ostovar:ior:5,ior,OCC|BRANCH,2,True,REMOVAL,False,GONE
ostovar,ostovar:iro:0,iro,OCC|BRANCH,2,True,COMPOSITE,True,GONE+LOOP+NEW
ostovar,ostovar:iro:1,iro,OCC|BRANCH|SKIP,3,True,SUBSTITUTION,False,GONE+NEW
ostovar,ostovar:iro:2,iro,OCC|BRANCH|SKIP,3,True,SUBSTITUTION,False,GONE+NEW
ostovar,ostovar:oir:0,oir,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ostovar,ostovar:oir:1,oir,OCC|BRANCH|SKIP,3,True,REMOVAL,False,GONE
ostovar,ostovar:oir:2,oir,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ostovar,ostovar:oir:3,oir,OCC|BRANCH|SKIP,3,True,REMOVAL,False,GONE
ostovar,ostovar:oir:4,oir,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ostovar,ostovar:oir:5,oir,OCC|BRANCH|SKIP,3,True,REMOVAL,False,GONE
ostovar,ostovar:ori:0,ori,OCC|BRANCH|SKIP,3,True,LOOP,False,LOOP
ostovar,ostovar:ori:1,ori,BRANCH,1,False,BRANCH,False,
ostovar,ostovar:ori:2,ori,OCC|BRANCH|SKIP,3,True,LOOP,False,LOOP
ostovar,ostovar:ori:3,ori,BRANCH,1,False,BRANCH,False,
ostovar,ostovar:ori:4,ori,OCC|BRANCH|SKIP,3,True,LOOP,False,LOOP
ostovar,ostovar:rio:0,rio,OCC|BRANCH,2,True,LOOP,False,LOOP
ostovar,ostovar:rio:1,rio,BRANCH|SKIP,2,True,BRANCH,False,
ostovar,ostovar:rio:2,rio,OCC|REORDER,2,True,LOOP,False,LOOP
ostovar,ostovar:rio:3,rio,BRANCH|SKIP,2,True,BRANCH,False,
ostovar,ostovar:rio:4,rio,OCC|BRANCH,2,True,LOOP,False,LOOP
ostovar,ostovar:rio:5,rio,OCC|BRANCH|SKIP,3,True,DUPLICATION,False,DUP
ostovar,ostovar:roi:0,roi,OCC|BRANCH|SKIP,3,True,REMOVAL,False,GONE
ostovar,ostovar:roi:1,roi,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ostovar,ostovar:roi:2,roi,OCC|BRANCH|SKIP,3,True,REMOVAL,False,GONE
ostovar,ostovar:roi:3,roi,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ostovar,ostovar:roi:4,roi,OCC|BRANCH|SKIP,3,True,REMOVAL,False,GONE
ostovar,ostovar:roi:5,roi,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ceravolo,ceravolo:ior:0,ior,OCC|SKIP|REORDER,3,True,INSERTION,False,NEW
ceravolo,ceravolo:iro:0,iro,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:oir:0,oir,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:rio:0,rio,OCC,1,False,DUPLICATION,False,DUP
ceravolo,ceravolo:roi:0,roi,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:cb:0,cb,SKIP|REORDER,2,True,SKIP,True,
ceravolo,ceravolo:cd:0,cd,FREQUENCY,1,False,FREQUENCY,True,
ceravolo,ceravolo:cf:0,cf,BRANCH,1,False,BRANCH,True,
ceravolo,ceravolo:cp:0,cp,OCC|REORDER,2,True,DUPLICATION,True,DUP
ceravolo,ceravolo:lp:0,lp,OCC,1,False,LOOP,True,LOOP
ceravolo,ceravolo:pm:0,pm,REORDER,1,False,REORDER,True,
ceravolo,ceravolo:re:0,re,OCC|SKIP|REORDER,3,True,LOOP,False,LOOP
ceravolo,ceravolo:rp:0,rp,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:sw:0,sw,REORDER,1,False,REORDER,True,
ceravolo,ceravolo:ior:1,ior,OCC|SKIP|REORDER,3,True,INSERTION,False,NEW
ceravolo,ceravolo:iro:1,iro,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:oir:1,oir,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:rio:1,rio,OCC,1,False,DUPLICATION,False,DUP
ceravolo,ceravolo:roi:1,roi,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:cb:1,cb,SKIP|REORDER,2,True,SKIP,True,
ceravolo,ceravolo:cd:1,cd,,0,False,OTHER,False,
ceravolo,ceravolo:cf:1,cf,BRANCH,1,False,BRANCH,True,
ceravolo,ceravolo:cp:1,cp,OCC|REORDER,2,True,DUPLICATION,True,DUP
ceravolo,ceravolo:lp:1,lp,OCC,1,False,LOOP,True,LOOP
ceravolo,ceravolo:pm:1,pm,REORDER,1,False,REORDER,True,
ceravolo,ceravolo:re:1,re,OCC|SKIP|REORDER,3,True,LOOP,False,LOOP
ceravolo,ceravolo:rp:1,rp,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:sw:1,sw,REORDER,1,False,REORDER,True,
ceravolo,ceravolo:ior:2,ior,OCC|SKIP|REORDER,3,True,INSERTION,False,NEW
ceravolo,ceravolo:iro:2,iro,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:oir:2,oir,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:rio:2,rio,OCC,1,False,DUPLICATION,False,DUP
ceravolo,ceravolo:roi:2,roi,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:cb:2,cb,SKIP|REORDER,2,True,SKIP,True,
ceravolo,ceravolo:cd:2,cd,,0,False,OTHER,False,
ceravolo,ceravolo:cf:2,cf,BRANCH,1,False,BRANCH,True,
ceravolo,ceravolo:cp:2,cp,OCC|REORDER,2,True,DUPLICATION,True,DUP
ceravolo,ceravolo:lp:2,lp,OCC,1,False,LOOP,True,LOOP
ceravolo,ceravolo:pm:2,pm,SKIP|REORDER,2,True,SKIP,False,
ceravolo,ceravolo:re:2,re,SKIP|REORDER,2,True,SKIP,False,
ceravolo,ceravolo:rp:2,rp,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:sw:2,sw,REORDER,1,False,REORDER,True,
ceravolo,ceravolo:ior:3,ior,OCC|SKIP|REORDER,3,True,INSERTION,False,NEW
ceravolo,ceravolo:iro:3,iro,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:oir:3,oir,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:rio:3,rio,OCC|REORDER,2,True,DUPLICATION,False,DUP
ceravolo,ceravolo:roi:3,roi,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:cb:3,cb,SKIP|REORDER,2,True,SKIP,True,
ceravolo,ceravolo:cd:3,cd,,0,False,OTHER,False,
ceravolo,ceravolo:cf:3,cf,BRANCH,1,False,BRANCH,True,
ceravolo,ceravolo:cp:3,cp,OCC|REORDER,2,True,DUPLICATION,True,DUP
ceravolo,ceravolo:lp:3,lp,OCC,1,False,LOOP,True,LOOP
ceravolo,ceravolo:pm:3,pm,SKIP|REORDER,2,True,SKIP,False,
ceravolo,ceravolo:re:3,re,SKIP|REORDER,2,True,SKIP,False,
ceravolo,ceravolo:rp:3,rp,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:sw:3,sw,REORDER,1,False,REORDER,True,
ceravolo,ceravolo:ior:4,ior,OCC|SKIP|REORDER,3,True,INSERTION,False,NEW
ceravolo,ceravolo:iro:4,iro,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:oir:4,oir,OCC|REORDER,2,True,COMPOSITE,True,LOOP+NEW
ceravolo,ceravolo:rio:4,rio,OCC,1,False,DUPLICATION,False,DUP
ceravolo,ceravolo:roi:4,roi,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:cb:4,cb,SKIP|REORDER,2,True,SKIP,True,
ceravolo,ceravolo:cd:4,cd,FREQUENCY,1,False,FREQUENCY,True,
ceravolo,ceravolo:cf:4,cf,BRANCH,1,False,BRANCH,True,
ceravolo,ceravolo:cp:4,cp,OCC|REORDER,2,True,DUPLICATION,True,DUP
ceravolo,ceravolo:lp:4,lp,OCC,1,False,LOOP,True,LOOP
ceravolo,ceravolo:pm:4,pm,REORDER,1,False,REORDER,True,
ceravolo,ceravolo:re:4,re,OCC|SKIP|REORDER,3,True,LOOP,False,LOOP
ceravolo,ceravolo:rp:4,rp,OCC|SKIP,2,True,INSERTION,False,NEW
ceravolo,ceravolo:sw:4,sw,REORDER,1,False,REORDER,True,
