dataset,drift_id,pattern_code,predicted_label,valid_labels,ambiguous,category
ostovar,ostovar:sw:0,sw,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:sw:1,sw,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:sw:2,sw,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:sw:3,sw,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:sw:4,sw,SKIP,REORDER,False,incorrect
ostovar,ostovar:sw:5,sw,SKIP,REORDER,False,incorrect
ostovar,ostovar:ior:0,ior,INSERTION,COMPOSITE,False,incorrect
ostovar,ostovar:ior:1,ior,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:ior:2,ior,INSERTION,COMPOSITE,False,incorrect
ostovar,ostovar:ior:3,ior,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:ior:4,ior,INSERTION,COMPOSITE,False,incorrect
ostovar,ostovar:ior:5,ior,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:iro:0,iro,COMPOSITE,COMPOSITE,False,correct_unambiguous
ostovar,ostovar:iro:1,iro,SUBSTITUTION,COMPOSITE,False,incorrect
ostovar,ostovar:iro:2,iro,SUBSTITUTION,COMPOSITE,False,incorrect
ostovar,ostovar:oir:0,oir,INSERTION,COMPOSITE,False,incorrect
ostovar,ostovar:oir:1,oir,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:oir:2,oir,INSERTION,COMPOSITE,False,incorrect
ostovar,ostovar:oir:3,oir,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:oir:4,oir,INSERTION,COMPOSITE,False,incorrect
ostovar,ostovar:oir:5,oir,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:ori:0,ori,LOOP,COMPOSITE,False,incorrect
ostovar,ostovar:ori:1,ori,BRANCH,COMPOSITE,False,incorrect
ostovar,ostovar:ori:2,ori,LOOP,COMPOSITE,False,incorrect
ostovar,ostovar:ori:3,ori,BRANCH,COMPOSITE,False,incorrect
ostovar,ostovar:ori:4,ori,LOOP,COMPOSITE,False,incorrect
ostovar,ostovar:rio:0,rio,LOOP,COMPOSITE,False,incorrect
ostovar,ostovar:rio:1,rio,BRANCH,COMPOSITE,False,incorrect
ostovar,ostovar:rio:2,rio,LOOP,COMPOSITE,False,incorrect
ostovar,ostovar:rio:3,rio,BRANCH,COMPOSITE,False,incorrect
ostovar,ostovar:rio:4,rio,LOOP,COMPOSITE,False,incorrect
ostovar,ostovar:rio:5,rio,DUPLICATION,COMPOSITE,False,incorrect
ostovar,ostovar:roi:0,roi,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:roi:1,roi,INSERTION,COMPOSITE,False,incorrect
ostovar,ostovar:roi:2,roi,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:roi:3,roi,INSERTION,COMPOSITE,False,incorrect
ostovar,ostovar:roi:4,roi,REMOVAL,COMPOSITE,False,incorrect
ostovar,ostovar:roi:5,roi,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:ior:0,ior,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:iro:0,iro,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:oir:0,oir,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:rio:0,rio,DUPLICATION,COMPOSITE,False,incorrect
ceravolo,ceravolo:roi:0,roi,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:cb:0,cb,SKIP,SKIP,False,correct_unambiguous
ceravolo,ceravolo:cd:0,cd,FREQUENCY,FREQUENCY,False,correct_unambiguous
ceravolo,ceravolo:cf:0,cf,BRANCH,BRANCH,False,correct_unambiguous
ceravolo,ceravolo:cp:0,cp,DUPLICATION,DUPLICATION,False,correct_unambiguous
ceravolo,ceravolo:lp:0,lp,LOOP,LOOP,False,correct_unambiguous
ceravolo,ceravolo:pm:0,pm,REORDER,REORDER,False,correct_unambiguous
ceravolo,ceravolo:re:0,re,LOOP,INSERTION|REMOVAL,True,incorrect
ceravolo,ceravolo:rp:0,rp,INSERTION,SUBSTITUTION,False,incorrect
ceravolo,ceravolo:sw:0,sw,REORDER,REORDER,False,correct_unambiguous
ceravolo,ceravolo:ior:1,ior,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:iro:1,iro,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:oir:1,oir,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:rio:1,rio,DUPLICATION,COMPOSITE,False,incorrect
ceravolo,ceravolo:roi:1,roi,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:cb:1,cb,SKIP,SKIP,False,correct_unambiguous
ceravolo,ceravolo:cd:1,cd,OTHER,FREQUENCY,False,incorrect
ceravolo,ceravolo:cf:1,cf,BRANCH,BRANCH,False,correct_unambiguous
ceravolo,ceravolo:cp:1,cp,DUPLICATION,DUPLICATION,False,correct_unambiguous
ceravolo,ceravolo:lp:1,lp,LOOP,LOOP,False,correct_unambiguous
ceravolo,ceravolo:pm:1,pm,REORDER,REORDER,False,correct_unambiguous
ceravolo,ceravolo:re:1,re,LOOP,INSERTION|REMOVAL,True,incorrect
ceravolo,ceravolo:rp:1,rp,INSERTION,SUBSTITUTION,False,incorrect
ceravolo,ceravolo:sw:1,sw,REORDER,REORDER,False,correct_unambiguous
ceravolo,ceravolo:ior:2,ior,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:iro:2,iro,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:oir:2,oir,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:rio:2,rio,DUPLICATION,COMPOSITE,False,incorrect
ceravolo,ceravolo:roi:2,roi,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:cb:2,cb,SKIP,SKIP,False,correct_unambiguous
ceravolo,ceravolo:cd:2,cd,OTHER,FREQUENCY,False,incorrect
ceravolo,ceravolo:cf:2,cf,BRANCH,BRANCH,False,correct_unambiguous
ceravolo,ceravolo:cp:2,cp,DUPLICATION,DUPLICATION,False,correct_unambiguous
ceravolo,ceravolo:lp:2,lp,LOOP,LOOP,False,correct_unambiguous
ceravolo,ceravolo:pm:2,pm,SKIP,REORDER,False,incorrect
ceravolo,ceravolo:re:2,re,SKIP,INSERTION|REMOVAL,True,incorrect
ceravolo,ceravolo:rp:2,rp,INSERTION,SUBSTITUTION,False,incorrect
ceravolo,ceravolo:sw:2,sw,REORDER,REORDER,False,correct_unambiguous
ceravolo,ceravolo:ior:3,ior,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:iro:3,iro,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:oir:3,oir,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:rio:3,rio,DUPLICATION,COMPOSITE,False,incorrect
ceravolo,ceravolo:roi:3,roi,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:cb:3,cb,SKIP,SKIP,False,correct_unambiguous
ceravolo,ceravolo:cd:3,cd,OTHER,FREQUENCY,False,incorrect
ceravolo,ceravolo:cf:3,cf,BRANCH,BRANCH,False,correct_unambiguous
ceravolo,ceravolo:cp:3,cp,DUPLICATION,DUPLICATION,False,correct_unambiguous
ceravolo,ceravolo:lp:3,lp,LOOP,LOOP,False,correct_unambiguous
ceravolo,ceravolo:pm:3,pm,SKIP,REORDER,False,incorrect
ceravolo,ceravolo:re:3,re,SKIP,INSERTION|REMOVAL,True,incorrect
ceravolo,ceravolo:rp:3,rp,INSERTION,SUBSTITUTION,False,incorrect
ceravolo,ceravolo:sw:3,sw,REORDER,REORDER,False,correct_unambiguous
ceravolo,ceravolo:ior:4,ior,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:iro:4,iro,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:oir:4,oir,COMPOSITE,COMPOSITE,False,correct_unambiguous
ceravolo,ceravolo:rio:4,rio,DUPLICATION,COMPOSITE,False,incorrect
ceravolo,ceravolo:roi:4,roi,INSERTION,COMPOSITE,False,incorrect
ceravolo,ceravolo:cb:4,cb,SKIP,SKIP,False,correct_unambiguous
ceravolo,ceravolo:cd:4,cd,FREQUENCY,FREQUENCY,False,correct_unambiguous
ceravolo,ceravolo:cf:4,cf,BRANCH,BRANCH,False,correct_unambiguous
ceravolo,ceravolo:cp:4,cp,DUPLICATION,DUPLICATION,False,correct_unambiguous
ceravolo,ceravolo:lp:4,lp,LOOP,LOOP,False,correct_unambiguous
ceravolo,ceravolo:pm:4,pm,REORDER,REORDER,False,correct_unambiguous
ceravolo,ceravolo:re:4,re,LOOP,INSERTION|REMOVAL,True,incorrect
ceravolo,ceravolo:rp:4,rp,INSERTION,SUBSTITUTION,False,incorrect
ceravolo,ceravolo:sw:4,sw,REORDER,REORDER,False,correct_unambiguous
